,AuthService,UserService,ApiGateway,SessionService,IAMService,AuditService,OrderService,PaymentService,BillingService,CartService,PricingService,InvoiceService,InventoryService,WarehouseService,CatalogService,SupplierService,LogisticsService,FulfillmentService,ReportingService,AnalyticsService,BIService,ETLService,DataWarehouse,DataLake,NotificationService,EmailService,SMSService,MonitoringService,LoggingService,AlertService
AuthService,0,9,10,8,9,10,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3
UserService,9,0,8,9,10,8,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2
ApiGateway,10,8,0,10,8,9,4,3,2,3,2,3,4,3,2,3,2,3,3,3,2,3,2,3,3,3,2,3,2,3
SessionService,8,9,10,0,9,10,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2
IAMService,9,10,8,9,0,8,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3
AuditService,10,8,9,10,8,0,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2
OrderService,2,3,4,3,2,3,0,9,10,8,9,10,4,3,2,3,2,3,2,3,2,3,2,3,3,3,2,3,2,3
PaymentService,3,2,3,2,3,2,9,0,8,9,10,8,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2
BillingService,2,3,2,3,2,3,10,8,0,10,8,9,2,3,2,3,2,3,3,3,2,3,2,3,2,3,2,3,2,3
CartService,3,2,3,2,3,2,8,9,10,0,9,10,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2
PricingService,2,3,2,3,2,3,9,10,8,9,0,8,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3
InvoiceService,3,2,3,2,3,2,10,8,9,10,8,0,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2
InventoryService,2,3,4,3,2,3,4,3,2,3,2,3,0,9,10,8,9,10,2,3,2,3,2,3,2,3,2,3,2,3
WarehouseService,3,2,3,2,3,2,3,2,3,2,3,2,9,0,8,9,10,8,3,2,3,2,3,2,3,2,3,2,3,2
CatalogService,2,3,2,3,2,3,2,3,2,3,2,3,10,8,0,10,8,9,2,3,2,3,2,3,2,3,2,3,2,3
SupplierService,3,2,3,2,3,2,3,2,3,2,3,2,8,9,10,0,9,10,3,2,3,2,3,2,3,2,3,2,3,2
LogisticsService,2,3,2,3,2,3,2,3,2,3,2,3,9,10,8,9,0,8,2,3,2,3,2,3,2,3,2,3,2,3
FulfillmentService,3,2,3,2,3,2,3,2,3,2,3,2,10,8,9,10,8,0,3,2,3,2,3,2,3,2,3,2,3,2
ReportingService,2,3,3,3,2,3,2,3,3,3,2,3,2,3,2,3,2,3,0,9,10,8,9,10,2,3,2,3,2,3
AnalyticsService,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,9,0,8,9,10,8,3,2,3,2,3,2
BIService,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,10,8,0,10,8,9,2,3,2,3,2,3
ETLService,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,8,9,10,0,9,10,3,2,3,2,3,2
DataWarehouse,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,9,10,8,9,0,8,2,3,2,3,2,3
DataLake,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,10,8,9,10,8,0,3,2,3,2,3,2
NotificationService,2,3,3,3,2,3,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,0,9,10,8,9,10
EmailService,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,9,0,8,9,10,8
SMSService,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,10,8,0,10,8,9
MonitoringService,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,8,9,10,0,9,10
LoggingService,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,9,10,8,9,0,8
AlertService,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,10,8,9,10,8,0
