,AuthService,UserService,ApiGateway,SessionService,OrderService,PaymentService,BillingService,InventoryService,CatalogService,NotificationService
AuthService,0,20,20,20,3,3,3,3,3,3
UserService,20,0,20,20,3,3,3,3,3,3
ApiGateway,20,20,0,20,3,3,3,3,3,3
SessionService,20,20,20,0,3,3,3,3,3,3
OrderService,3,3,3,3,0,20,20,3,3,3
PaymentService,3,3,3,3,20,0,20,3,3,3
BillingService,3,3,3,3,20,20,0,3,3,3
InventoryService,3,3,3,3,3,3,3,0,20,20
CatalogService,3,3,3,3,3,3,3,20,0,20
NotificationService,3,3,3,3,3,3,3,20,20,0
