Componente,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15
N1,0,10,2,3,1,5,2,1,0,0,2,1,5,0,2
N2,10,0,8,1,2,0,0,3,1,2,5,0,0,1,1
N3,2,8,0,10,5,1,1,0,0,0,0,5,2,1,0
N4,3,1,10,0,12,2,1,0,5,1,1,2,0,0,0
N5,1,2,5,12,0,10,2,1,1,0,0,0,1,5,2
N6,5,0,1,2,10,0,15,5,2,1,1,0,0,0,0
N7,2,0,1,1,2,15,0,20,5,2,1,1,0,0,0
N8,1,3,0,0,1,5,20,0,18,10,2,1,1,2,1
N9,0,1,0,5,1,2,5,18,0,25,5,2,1,0,1
N10,0,2,0,1,0,1,2,10,25,0,15,5,2,1,1
N11,2,5,0,1,0,1,1,2,5,15,0,30,10,2,5
N12,1,0,5,2,0,0,1,1,2,5,30,0,20,5,10
N13,5,0,2,0,1,0,0,1,1,2,10,20,0,40,5
N14,0,1,1,0,5,0,0,2,0,1,2,5,40,0,50
N15,2,1,0,0,2,0,0,1,1,1,5,10,5,50,0
